id, year, conflict_name, country, date_start, best 
163863, 2004, GAM - Civilians, Indonesia, 2004-01-28T00:00:00, 1 
163864, 2004, GAM - Civilians, Indonesia, 2004-06-03T00:00:00, 1 
163869, 2004, GAM - Civilians, Indonesia, 2004-02-05T00:00:00, 4 
163870, 2004, GAM - Civilians, Indonesia, 2004-02-05T00:00:00, 3 
163871, 2004, GAM - Civilians, Indonesia, 2004-06-03T00:00:00, 1 
163872, 2004, GAM - Civilians, Indonesia, 2004-06-08T00:00:00, 1 
163945, 2004, Indonesia:Aceh, Indonesia, 2004-03-23T00:00:00, 1 
163902, 2004, Indonesia:Aceh, Indonesia, 2004-01-22T00:00:00, 0 
163903, 2004, Indonesia:Aceh, Indonesia, 2004-07-13T00:00:00, 3 
163904, 2004, Indonesia:Aceh, Indonesia, 2004-07-13T00:00:00, 2 
163935, 2004, Indonesia:Aceh, Indonesia, 2004-01-26T00:00:00, 2 
163936, 2004, Indonesia:Aceh, Indonesia, 2004-02-02T00:00:00, 2 
163937, 2004, GAM - Civilians, Indonesia, 2004-05-23T00:00:00, 1 
163938, 2004, Indonesia:Aceh, Indonesia, 2004-04-19T00:00:00, 1 
163946, 2004, Indonesia:Aceh, Indonesia, 2004-03-23T00:00:00, 1 
163963, 2004, Indonesia:Aceh, Indonesia, 2004-02-25T00:00:00, 1 
163947, 2004, Indonesia:Aceh, Indonesia, 2004-01-16T00:00:00, 1 
163948, 2004, Indonesia:Aceh, Indonesia, 2004-01-16T00:00:00, 1 
163949, 2004, Indonesia:Aceh, Indonesia, 2004-04-20T00:00:00, 2 
163950, 2004, Indonesia:Aceh, Indonesia, 2004-04-20T00:00:00, 1 
163952, 2004, Indonesia:Aceh, Indonesia, 2004-08-01T00:00:00, 1 
163953, 2004, Indonesia:Aceh, Indonesia, 2004-06-30T00:00:00, 1 
163954, 2004, Indonesia:Aceh, Indonesia, 2004-07-07T00:00:00, 1 
163388, 2004, Indonesia:Aceh, Indonesia, 2004-08-21T00:00:00, 4 
163262, 2004, Indonesia:Aceh, Indonesia, 2004-11-22T00:00:00, 4 
163273, 2004, Indonesia:Aceh, Indonesia, 2004-12-07T00:00:00, 1 
163356, 2004, Indonesia:Aceh, Indonesia, 2004-01-25T00:00:00, 2 
163357, 2004, Indonesia:Aceh, Indonesia, 2004-02-25T00:00:00, 2 
163457, 2004, Indonesia:Aceh, Indonesia, 2004-02-22T00:00:00, 2 
163469, 2004, Indonesia:Aceh, Indonesia, 2004-03-30T00:00:00, 12 
163522, 2004, Indonesia:Aceh, Indonesia, 2004-05-28T00:00:00, 1 
163605, 2004, Indonesia:Aceh, Indonesia, 2004-04-27T00:00:00, 5 
163783, 2004, Government of Indonesia - Civilians, Indonesia, 2004-01-16T00:00:00, 0 
163796, 2004, Government of Indonesia - Civilians, Indonesia, 2004-01-29T00:00:00, 1 
163828, 2004, Government of Indonesia - Civilians, Indonesia, 2004-10-07T00:00:00, 1 
163829, 2004, Government of Indonesia - Civilians, Indonesia, 2004-09-14T00:00:00, 1 
163830, 2004, GAM - Civilians, Indonesia, 2004-09-16T00:00:00, 7 
163831, 2004, GAM - Civilians, Indonesia, 2004-04-28T00:00:00, 2 
163840, 2004, Government of Indonesia - Civilians, Indonesia, 2004-09-17T00:00:00, 1 
163843, 2004, Jemaah Islamiya - Civilians, Indonesia, 2004-01-10T00:00:00, 4 
163874, 2004, Government of Indonesia - Civilians, Indonesia, 2004-01-07T00:00:00, 1 
163908, 2004, Indonesia:Aceh, Indonesia, 2004-02-05T00:00:00, 2 
163383, 2004, Indonesia:Aceh, Indonesia, 2004-05-11T00:00:00, 4 
163460, 2004, Indonesia:Aceh, Indonesia, 2004-02-13T00:00:00, 1 
163960, 2004, Indonesia:Aceh, Indonesia, 2004-04-09T00:00:00, 2 
163629, 2004, Indonesia:Aceh, Indonesia, 2004-01-22T00:00:00, 1 
163844, 2004, Jemaah Islamiya - Civilians, Indonesia, 2004-09-09T00:00:00, 10 
163110, 2004, Government of Indonesia - Civilians, Indonesia, 2004-02-02T00:00:00, 2 
