id, year, conflict_name, country, date_start, best, type_of_violence 
140995, 2000, Indonesia:Aceh, Indonesia, 2000-02-14T00:00:00, 0, 1 
141062, 1999, Government of Indonesia - Civilians, Indonesia, 1999-05-17T00:00:00, 1, 3 
141063, 1999, Government of Indonesia - Civilians, Indonesia, 1999-05-17T00:00:00, 1, 3 
141064, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-06T00:00:00, 15, 3 
141065, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-06T00:00:00, 1, 3 
141067, 1999, Indonesia:Aceh, Indonesia, 1999-05-05T00:00:00, 0, 1 
141068, 1999, Indonesia:Aceh, Indonesia, 1999-05-18T00:00:00, 0, 1 
141069, 1999, Indonesia:Aceh, Indonesia, 1999-07-13T00:00:00, 6, 1 
141072, 2005, Indonesia:Aceh, Indonesia, 2005-07-19T00:00:00, 4, 1 
141073, 1999, Government of Indonesia - Civilians, Indonesia, 1999-03-26T00:00:00, 3, 3 
141074, 1999, Government of Indonesia - Civilians, Indonesia, 1999-05-17T00:00:00, 1, 3 
141075, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-06T00:00:00, 1, 3 
141086, 1991, Government of Indonesia - Civilians, Indonesia, 1991-01-01T00:00:00, 1, 3 
141121, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-14T00:00:00, 1, 3 
141130, 1991, Indonesia:Aceh, Indonesia, 1991-11-15T00:00:00, 6, 1 
141143, 2000, Government of Indonesia - Civilians, Indonesia, 2000-10-21T00:00:00, 0, 3 
141144, 2000, Government of Indonesia - Civilians, Indonesia, 2000-10-30T00:00:00, 0, 3 
141147, 1991, Indonesia:Aceh, Indonesia, 1991-11-16T00:00:00, 3, 1 
141148, 1991, Indonesia:Aceh, Indonesia, 1991-04-15T00:00:00, 5, 1 
141149, 1991, Indonesia:Aceh, Indonesia, 1991-02-01T00:00:00, 0, 1 
141157, 1999, Christians (Indonesia) - Muslims (Indonesia), Indonesia, 1999-01-19T00:00:00, 54, 2 
141158, 1999, Government of Indonesia - Civilians, Indonesia, 1999-04-07T00:00:00, 1, 3 
141160, 1999, Government of Indonesia - Civilians, Indonesia, 1999-05-28T00:00:00, 2, 3 
141161, 1999, Government of Indonesia - Civilians, Indonesia, 1999-05-30T00:00:00, 1, 3 
141162, 1999, Government of Indonesia - Civilians, Indonesia, 1999-05-31T00:00:00, 1, 3 
141163, 1999, Government of Indonesia - Civilians, Indonesia, 1999-09-06T00:00:00, 0, 3 
